id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
21853.0,Bright and airy room,83531,Abdel,Latina,Cármenes,40.40381,-3.7413,Private room,29.0,4,33,7/15/2018,0.26,2,233,0,
62423.0,MAGIC ARTISTIC HOUSE IN THE CENTER OF MADRID,303845,Arturo,Centro,Justicia,40.41884,-3.69655,Private room,77.0,1,227,2/20/2025,2.73,3,298,46,
70059.0,Tu hogar en centro de Madrid.,353616,Diana,Centro,Universidad,40.42381,-3.71038,Entire home/apt,66.0,15,61,12/19/2022,0.36,1,54,0,VT-7440
70310.0,"Heart of Malasaña Cozy, Quiet & Sunny Apartment",353738,Raquel,Centro,Universidad,40.42252,-3.7025,Entire home/apt,89.0,30,29,11/18/2023,0.17,3,289,0,
72150.0,Sunny attic duplex flat with terrace next to Sol,364585,Vin,Centro,Embajadores,40.4115,-3.70449,Entire home/apt,173.0,3,126,3/2/2025,0.74,4,163,17,VT-6993
84719.0,Cool Apart. (10min Center + WIFI),259229,Felipe,Centro,Embajadores,40.40866,-3.70374,Entire home/apt,72.0,7,184,9/29/2021,1.09,1,53,0,VT2922
86042.0,Cozy attic with intimate rooftop terrace+ elevator,364585,Vin,Centro,Embajadores,40.40939,-3.69812,Entire home/apt,189.0,3,222,1/18/2025,1.33,4,163,24,VT-3974
114854.0,NICE CENTRAL TOURISM-BUSINESS APTO,361930,Maria,Chamberí,Rios Rosas,40.4382,-3.69389,Entire home/apt,87.0,2,183,10/13/2024,1.12,3,15,36,
136058.0,"Calm, affordable room in Madrid.",666482,Cinthia,Villaverde,Los Angeles,40.35761,-3.69723,Private room,24.0,1,97,10/30/2022,0.58,1,0,0,
167183.0,private house B & B. Arturo Soria (Metro),796746,Consuelo,Hortaleza,Piovera,40.45575,-3.64912,Private room,86.0,1,45,11/2/2024,0.29,2,344,3,
196197.0,Bight Latina,852616,Meyling,Centro,Palacio,40.41235,-3.70967,Entire home/apt,82.0,3,468,2/2/2025,2.85,1,14,50,
198296.0,Very quiet central top floor with 2 terraces,967721,Santi,Centro,Universidad,40.42589,-3.70565,Entire home/apt,170.0,2,82,3/5/2025,0.54,2,9,5,
199016.0,Habitación en ático muy céntrico con dos terrazas,967721,Santi,Centro,Universidad,40.4257,-3.70383,Private room,48.0,3,58,2/26/2025,0.49,2,337,26,
199201.0,"Converted theatre, historic centre",749212,Henrietta,Centro,Embajadores,40.41319,-3.7024,Private room,120.0,3,209,3/4/2025,1.27,1,25,17,
204570.0,Lovely 110m2 home - Best location!,1004721,Alex,Centro,Cortes,40.4152,-3.69668,Entire home/apt,177.0,12,105,11/23/2024,0.64,1,88,2,
205199.0,Tafari Gran Via,1008659,Nuria,Centro,Universidad,40.42116,-3.70384,Entire home/apt,86.0,15,361,2/25/2025,2.2,2,271,28,VT-121
211444.0,Private Room in a Sunny and Luxuriously Appointed Apartment,1090760,Jon,Hortaleza,Canillas,40.45959,-3.64699,Private room,68.0,2,221,2/27/2025,1.36,1,263,31,
229664.0,Beautiful cozy loft madrid center,1130651,Sergio,Centro,Embajadores,40.4078,-3.70085,Entire home/apt,57.0,10,553,2/2/2025,3.39,2,282,16,
233011.0,Apartament Center Atocha l,1146227,Davinia,Centro,Embajadores,40.41175,-3.70021,Entire home/apt,71.0,2,73,2/9/2025,0.47,2,231,42,
256004.0,Hab Casa Balconies Arco Toledo - Cuchilleros St.,1732442,Anna,Centro,Sol,40.41428,-3.70767,Private room,113.0,3,214,1/24/2025,1.36,6,0,23,VT-519
258713.0,"Apartamento céntrico, tranquilo y luminoso.",1359945,Azucena,Arganzuela,Chopera,40.39627,-3.69926,Entire home/apt,110.0,4,77,2/23/2025,0.53,1,0,33,
261878.0,Great Studio! Best Reviews!,1373873,Alvaro,Centro,Universidad,40.42377853,-3.702780962,Entire home/apt,138.0,1,661,2/23/2025,4.08,1,115,49,
263748.0,"LOFT ""C"" cerca de  IFEMA Madrid",1351865,Angela,Hortaleza,Valdefuentes,40.47142,-3.62881,Entire home/apt,91.0,2,153,3/1/2025,1.0,2,301,20,
280733.0,★City Center - Gran Via Apartment,596469,Gabriel,Centro,Universidad,40.42457,-3.70802,Entire home/apt,129.0,1,70,12/22/2024,0.49,29,282,11,
281224.0,The Royal Palace Opera Central Apartment,1466005,Pe,Centro,Palacio,40.41685,-3.70882,Entire home/apt,129.0,2,136,6/21/2023,1.32,1,323,0,
289555.0,B11-Priv bathroom.,901218,Myrko,Centro,Sol,40.41849,-3.70743,Private room,160.0,4,191,11/7/2024,1.36,62,301,12,
310333.0,Temporary Apartment in the center,1596220,Paloma,Centro,Embajadores,40.40908377,-3.695142807,Entire home/apt,63.0,186,181,1/2/2025,1.19,1,158,16,0
336834.0,2 bedroom apartament in Chueca-Fuen,1713427,Helena,Centro,Justicia,40.42242,-3.69562,Entire home/apt,84.0,5,62,3/5/2025,0.39,1,263,8,
339144.0,COZY APARTMENT MADRID MALASAÑA,1721158,Pau&Patricia,Centro,Universidad,40.42838,-3.70345,Entire home/apt,90.0,25,148,2/28/2025,0.94,3,47,5,
339171.0,PRADO MUSEUM AIR & OnSiteParking (*),1722284,Cesar,Centro,Cortes,40.41285,-3.69553,Entire home/apt,120.0,3,207,1/4/2025,1.32,1,93,11,VT-6570
342095.0,Lovely apartment CENTRAL MADRID !,1703448,Elena,Centro,Embajadores,40.41015,-3.69797,Entire home/apt,95.0,5,49,12/25/2024,0.32,2,238,10,
361053.0,"Cozy, luminous  excellenty placed",1729503,Ana,Retiro,Niño Jesús,40.40988,-3.67503,Entire home/apt,97.0,2,289,3/3/2025,1.84,2,0,55,VUT 8713
363476.0,PUERTA DEL SOL-QUIET DOWNTOWN,1836617,Bibiana,Centro,Sol,40.41676,-3.70682,Private room,52.0,2,618,2/25/2025,3.93,1,209,54,
371532.0,"Fantastic Location. Great apartment, Opera",1871034,Olga,Centro,Palacio,40.41944,-3.70945,Entire home/apt,90.0,2,173,3/7/2025,1.11,1,35,28,
376379.0,Great Studio for Rent in Madrid,1892467,Laura,Centro,Embajadores,40.41115,-3.69673,Entire home/apt,70.0,7,39,1/29/2025,0.29,2,4,5,
398450.0,a special place with special views,2150362,Nuria,Centro,Universidad,40.42788,-3.70933,Entire home/apt,75.0,4,350,2/23/2025,2.24,1,189,37,
402588.0,PUERTA DEL SOL l - MADRID CENTRE,1408525,Mad4Rent,Centro,Sol,40.4149,-3.70331,Entire home/apt,102.0,7,242,2/22/2025,1.66,68,77,19,0
404569.0,GRAN VIA  -  Vll -MADRID CENTRE,1408525,Mad4Rent,Centro,Universidad,40.42552,-3.70589,Entire home/apt,116.0,3,103,12/12/2024,0.84,68,0,16,0
406341.0,"Quiet downtown Madrid, nearby all",2024487,Fernando,Salamanca,Lista,40.42978,-3.67817,Private room,28.0,4,210,2/27/2025,1.34,1,0,20,
414763.0,LATINA - lV - STUDIO MADRID CENTRE,1408525,Mad4Rent,Centro,Embajadores,40.41281,-3.70749,Entire home/apt,98.0,3,117,2/21/2025,0.78,68,99,21,0
429306.0,Vintage and Scandi Chic at an Historic Central Madrid Home,2134007,Lola,Chamberí,Arapiles,40.43028,-3.70732,Entire home/apt,129.0,3,246,2/15/2025,1.59,1,28,18,VT-2555
449218.0,"Central, fully equipped, best price",2230279,Marina,Centro,Justicia,40.42849,-3.70183,Entire home/apt,64.0,4,474,2/19/2025,3.04,1,97,54,
459362.0,PUERTA DEL SOL- ll - MADRID CENTRE,1408525,Mad4Rent,Centro,Sol,40.41592,-3.70177,Entire home/apt,127.0,7,129,2/3/2025,1.01,68,80,17,0
462072.0,Ático Celestial en Barrio La Latina,2296476,José Manuel,Centro,Palacio,40.40869,-3.71073,Entire home/apt,152.0,3,205,3/1/2025,1.32,1,256,30,VT-11049
469231.0,ATICO PRECIADOS,1408525,Mad4Rent,Centro,Palacio,40.41941,-3.70823,Entire home/apt,120.0,3,75,1/2/2025,0.59,68,69,8,0
470132.0,❤Quiet & Comfortable apartment downtown,2332600,Rodrigo,Centro,Embajadores,40.41018,-3.70164,Entire home/apt,87.0,31,53,1/28/2025,0.34,1,4,5,VT-297
471198.0,GRAN VIA - Vlll - MADRID OLD TOWN,1408525,Mad4Rent,Centro,Universidad,40.42359,-3.70537,Entire home/apt,118.0,3,55,1/2/2025,0.44,68,0,4,VT-549
471328.0,PUERTA DEL SOL - Vll -MADRID CENTRE,1408525,Mad4Rent,Centro,Sol,40.41628,-3.70364,Entire home/apt,109.0,7,199,2/26/2025,1.32,68,0,14,VT-532
479718.0,"Estadio Metropolitano,  20 minutes to Sol by tube",2376402,Jesús,San Blas - Canillejas,Rosas,40.43202,-3.60353,Private room,76.0,1,26,10/27/2024,0.17,2,89,9,
491070.0,NICE APT IN THE HEART OF MADRID !!!,2427722,Ignacio,Centro,Universidad,40.42885,-3.70479,Entire home/apt,76.0,90,23,10/1/2024,0.15,1,0,4,VT-8441
502918.0,"PAISAJE DE LA LUZ:
Confortable habitación",2480913,Elvira,Centro,Cortes,40.41155,-3.69492,Private room,56.0,3,177,2/25/2025,1.64,1,178,22,
506956.0,Precioso  apartamento  céntrico,1932547,Nieves,Ciudad Lineal,Concepción,40.44117,-3.64841,Entire home/apt,97.0,1,698,3/2/2025,6.31,1,32,86,
507614.0,Malasaña: Amazing&extremely central 2BD flat,2501740,Moises&Cristina + Little Sophie&Eli,Centro,Universidad,40.42323,-3.70434,Entire home/apt,114.0,15,48,12/29/2024,0.31,5,265,13,VT-8051
510973.0,Habitación céntrica a 1 min de Plza Santa Ana,2517520,Ruben,Centro,Cortes,40.41412,-3.70057,Private room,67.0,1,21,10/27/2024,0.22,1,365,2,
514917.0,"Nice room, nice flat",83531,Abdel,Latina,Puerta del Angel,40.40445,-3.7398,Private room,30.0,4,26,7/27/2018,0.17,2,253,0,
522563.0,Beautiful loft in downtown Madrid,1652272,Xuan,Centro,Palacio,40.41152,-3.70991,Entire home/apt,176.0,4,116,1/1/2025,0.91,1,72,9,VT-2141
524003.0,Habitación con baño privado a 3 minutos de P Mayor,2576044,Angel,Centro,Embajadores,40.41327,-3.70223,Private room,81.0,2,579,2/23/2025,3.83,1,283,56,
526513.0,Sol.  Your home in Madrid´s Heart,1134989,Rut Y Oscar,Centro,Sol,40.41604,-3.70834,Entire home/apt,132.0,2,863,2/11/2025,5.57,1,247,88,VT-2803
540937.0,MELROSEPIES apartment  A/C City Centre Free WIFI,2659070,,Centro,Embajadores,40.40954,-3.70096,Entire home/apt,63.0,2,361,2/20/2025,2.34,1,29,26,VT-8720
544736.0,SUNNY & EASY ACCESIBLE BEDROOM,1284868,Rocio,Chamartín,Hispanoamérica,40.45841,-3.67598,Private room,32.0,3,99,1/20/2025,0.69,1,71,13,
552183.0,Double cozy room in Madrid historic center,2713304,Belén,Centro,Cortes,40.41309,-3.69775,Private room,46.0,3,408,3/3/2025,2.64,1,291,40,
560941.0,En Salamanca - Serrano Apartmento,596469,Gabriel,Salamanca,Recoletos,40.42296831,-3.690953727,Entire home/apt,169.0,1,42,3/1/2025,0.3,29,4,6,
565152.0,wonderful aparment in lavapies !!,2779192,Wanda,Centro,Embajadores,40.40683,-3.69932,Entire home/apt,65.0,4,261,2/23/2025,2.01,1,0,29,VT-8490
568190.0,"Rooms to rent to students,tourists",2795931,Pilar,Latina,Puerta del Angel,40.41016,-3.72863,Private room,19.0,2,195,3/7/2019,1.31,1,0,0,
576487.0,"House in Barajas, close to Airport and Ifema.",2312712,Pilar,Barajas,Casco Histórico de Barajas,40.4739,-3.57583,Entire home/apt,86.0,1,777,3/2/2025,5.14,1,120,129,
578731.0,"Centric, Quiet, Bright Apartment.",2847013,Santiago,Centro,Universidad,40.42551,-3.70812,Entire home/apt,126.0,2,460,3/9/2025,2.99,3,179,36,VT680
588518.0,Penthouse with Stunning Balcony Near Plaza Mayor,2267893,Ana,Centro,Palacio,40.4158,-3.70962,Entire home/apt,214.0,4,83,11/4/2024,0.65,1,216,15,VT-12828
590710.0,Single/Double private room,2913511,Amparo,Usera,San Fermín,40.36725,-3.68875,Private room,47.0,4,94,2/7/2025,0.62,1,321,12,
594298.0,"Great Design, Views and Location",153391,Fernando,Centro,Sol,40.41906,-3.70627,Entire home/apt,145.0,1,581,3/9/2025,3.84,5,103,73,
923140.0,Penhouse with Lovely Terrace,1574604,Jorge & Angelina,Centro,Universidad,40.42194,-3.70194,Entire home/apt,225.0,5,195,2/27/2025,1.39,1,79,19,
925250.0,Chic & Sunny Apt. Historic District-Sol,4975799,Kristian,Centro,Sol,40.41538,-3.70351,Private room,67.0,1,709,2/26/2025,4.9,13,293,88,
938410.0,Elegant apartment  in the best area,9228673,Antonio Jose,Salamanca,Recoletos,40.42722,-3.68388,Entire home/apt,277.0,5,33,1/22/2025,0.24,3,334,5,
948141.0,Penthouse with terrace heart of the  city,4722486,Marga,Centro,Universidad,40.42681,-3.7025,Entire home/apt,189.0,1,280,1/6/2025,1.97,1,322,5,VT-272
958020.0,SPRING SALES  AT Madrid Malasaña,5211661,Isabel,Centro,Universidad,40.42744,-3.70658,Entire home/apt,73.0,7,284,9/1/2020,1.96,1,268,0,
595055.0,ROOM DUPLEX-ATICO NEAR MADRID RIO,2940355,Teresa,Carabanchel,Comillas,40.39523,-3.7132,Private room,20.0,2,19,6/26/2019,0.12,1,59,0,
598771.0,Atocha Attic - Unbeatable Location,2678039,Miguel,Arganzuela,Palos de Moguer,40.40661,-3.6952,Entire home/apt,94.0,3,100,2/17/2025,0.71,2,208,14,
